"","keyword","date","hits"
"154","kill myself",2019-10-20,87
"155","kill myself",2019-10-27,82
"156","kill myself",2019-11-03,96
"157","kill myself",2019-11-10,98
"158","kill myself",2019-11-17,100
"159","kill myself",2019-11-24,77
"160","kill myself",2019-12-01,81
"161","kill myself",2019-12-08,98
"162","kill myself",2019-12-15,88
"163","kill myself",2019-12-22,76
"164","kill myself",2019-12-29,86
"165","kill myself",2020-01-05,65
"166","kill myself",2020-01-12,79
"167","kill myself",2020-01-19,68
"168","kill myself",2020-01-26,72
"169","kill myself",2020-02-02,78
"170","kill myself",2020-02-09,84
"171","kill myself",2020-02-16,96
"172","kill myself",2020-02-23,96
"173","kill myself",2020-03-01,89
"174","kill myself",2020-03-08,86
"175","kill myself",2020-03-15,82
"176","kill myself",2020-03-22,56
"177","kill myself",2020-03-29,81
"178","kill myself",2020-04-05,81
"179","kill myself",2020-04-12,86
"180","kill myself",2020-04-19,72
"181","kill yourself",2019-03-03,85
"182","kill yourself",2019-03-10,86
"183","kill yourself",2019-03-17,81
"184","kill yourself",2019-03-24,90
"185","kill yourself",2019-03-31,80
"186","kill yourself",2019-04-07,100
"187","kill yourself",2019-04-14,85
"188","kill yourself",2019-04-21,89
"189","kill yourself",2019-04-28,92
"190","kill yourself",2019-05-05,85
"191","kill yourself",2019-05-12,76
"192","kill yourself",2019-05-19,80
"193","kill yourself",2019-05-26,91
"194","kill yourself",2019-06-02,86
"195","kill yourself",2019-06-09,82
"196","kill yourself",2019-06-16,75
"197","kill yourself",2019-06-23,78
"198","kill yourself",2019-06-30,84
"199","kill yourself",2019-07-07,80
"200","kill yourself",2019-07-14,73
"201","kill yourself",2019-07-21,87
"202","kill yourself",2019-07-28,86
"203","kill yourself",2019-08-04,80
"204","kill yourself",2019-08-11,93
"205","kill yourself",2019-08-18,86
"206","kill yourself",2019-08-25,77
"207","kill yourself",2019-09-01,88
"208","kill yourself",2019-09-08,80
"209","kill yourself",2019-09-15,87
"210","kill yourself",2019-09-22,86
"211","kill yourself",2019-09-29,91
"212","kill yourself",2019-10-06,86
"213","kill yourself",2019-10-13,95
"214","kill yourself",2019-10-20,85
"215","kill yourself",2019-10-27,89
"216","kill yourself",2019-11-03,85
"217","kill yourself",2019-11-10,90
"218","kill yourself",2019-11-17,88
"219","kill yourself",2019-11-24,69
"220","kill yourself",2019-12-01,82
"221","kill yourself",2019-12-08,90
"222","kill yourself",2019-12-15,86
"223","kill yourself",2019-12-22,81
"224","kill yourself",2019-12-29,84
"225","kill yourself",2020-01-05,69
"226","kill yourself",2020-01-12,83
"227","kill yourself",2020-01-19,87
"228","kill yourself",2020-01-26,82
"229","kill yourself",2020-02-02,79
"230","kill yourself",2020-02-09,85
"231","kill yourself",2020-02-16,85
"232","kill yourself",2020-02-23,84
"233","kill yourself",2020-03-01,86
"234","kill yourself",2020-03-08,82
"235","kill yourself",2020-03-15,69
"236","kill yourself",2020-03-22,67
"237","kill yourself",2020-03-29,76
"238","kill yourself",2020-04-05,76
"239","kill yourself",2020-04-12,74
"240","kill yourself",2020-04-19,78
"241","commit suicide",2019-03-03,85
"242","commit suicide",2019-03-10,70
"243","commit suicide",2019-03-17,67
"244","commit suicide",2019-03-24,74
"245","commit suicide",2019-03-31,60
"246","commit suicide",2019-04-07,62
"247","commit suicide",2019-04-14,65
"248","commit suicide",2019-04-21,72
"249","commit suicide",2019-04-28,81
"250","commit suicide",2019-05-05,68
"251","commit suicide",2019-05-12,61
"252","commit suicide",2019-05-19,61
"253","commit suicide",2019-05-26,58
"254","commit suicide",2019-06-02,68
"255","commit suicide",2019-06-09,63
"256","commit suicide",2019-06-16,54
"257","commit suicide",2019-06-23,60
"258","commit suicide",2019-06-30,51
"259","commit suicide",2019-07-07,51
"260","commit suicide",2019-07-14,52
"261","commit suicide",2019-07-21,51
"262","commit suicide",2019-07-28,56
"263","commit suicide",2019-08-04,78
"264","commit suicide",2019-08-11,100
"265","commit suicide",2019-08-18,62
"266","commit suicide",2019-08-25,57
"267","commit suicide",2019-09-01,65
"268","commit suicide",2019-09-08,73
"269","commit suicide",2019-09-15,64
"270","commit suicide",2019-09-22,63
"271","commit suicide",2019-09-29,68
"272","commit suicide",2019-10-06,70
"273","commit suicide",2019-10-13,70
"274","commit suicide",2019-10-20,70
"275","commit suicide",2019-10-27,72
"276","commit suicide",2019-11-03,79
"277","commit suicide",2019-11-10,66
"278","commit suicide",2019-11-17,64
"279","commit suicide",2019-11-24,68
"280","commit suicide",2019-12-01,72
"281","commit suicide",2019-12-08,72
"282","commit suicide",2019-12-15,51
"283","commit suicide",2019-12-22,54
"284","commit suicide",2019-12-29,60
"285","commit suicide",2020-01-05,56
"286","commit suicide",2020-01-12,69
"287","commit suicide",2020-01-19,66
"288","commit suicide",2020-01-26,63
"289","commit suicide",2020-02-02,88
"290","commit suicide",2020-02-09,65
